#
user-agent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36
Markíza Krimi,https://dash2.antik.sk/stream/nvidia_markiza_krimi/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Markiza Sport,https://dash2.antik.sk/stream/nvidia_markiza/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Minimax,https://dash2.antik.sk/stream/hisi_minimax/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Moziklub,https://dash2.antik.sk/stream/hisi_moziklub/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
MTV 00s,https://dash2.antik.sk/stream/hisi_mtv_00/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
MTV 90s,https://dash2.antik.sk/stream/hisi_mtv_90/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
MTV Hits,https://dash2.antik.sk/stream/hisi_mtv_hits/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Muzsika,https://dash2.antik.sk/stream/hisi_muzsika/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Nat Geo,https://dash2.antik.sk/stream/hisi_ngc/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Nat Geo Wild,https://dash2.antik.sk/stream/hisi_ngw/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
NOE,https://dash2.antik.sk/stream/hisi_noe/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Nova International,https://dash2.antik.sk/stream/hisi_nova_int/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Óčko,https://dash2.antik.sk/stream/hisi_ocko/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Prima Cool SK,https://dash2.antik.sk/stream/nvidia_prima_cool/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Prima SK,https://dash2.antik.sk/stream/hisi_prima_plus/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Rai,https://dash2.antik.sk/live/test_rai_tre_tizen/playlist.m3u8$license-type=clearkey$license-key=
Retro Music Television,https://dash2.antik.sk/stream/hisi_retro_music/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
RiK TV,https://dash2.antik.sk/live/rik_atk/index.m3u8$license-type=clearkey$license-key=
RTL Gold,https://dash2.antik.sk/stream/hisi_rtl_gold/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
RTL OTTHON,https://dash2.antik.sk/stream/hisi_rtl_otthon/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
RTVS Šport,https://dash2.antik.sk/stream/nvidia_rtvs_sport/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Senzi,https://dash2.antik.sk/stream/hisi_senzi/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Seznam.cz TV,https://dash2.antik.sk/stream/nvidia_seznam/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Arena Sport 1,https://dash2.antik.sk/stream/nvidia_arena_sport1/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Arena Sport 2,https://dash2.antik.sk/stream/hisi_as2/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Disney Channel,https://dash2.antik.sk/stream/hisi_disney_channel/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Disney Junior,https://dash2.antik.sk/stream/hisi_disney_jr/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK JimJam,https://dash2.antik.sk/stream/hisi_jimjam/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK JOJ Cinema,https://dash2.antik.sk/stream/nvidia_joj_cinema/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK JOJ Cinema+,https://dash2.antik.sk/stream/hisi_joj_cine_plus_jedna/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK JOJ Sport,https://dash2.antik.sk/stream/nvidia_joj_sport/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Nick Jr,https://dash2.antik.sk/stream/hisi_nick_jr/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Nickelodeon,https://dash2.antik.sk/stream/hisi_nickelodeon/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Nova Sport 1,https://dash2.antik.sk/stream/nvidia_nova_sport1/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Nova Sport 2,https://dash2.antik.sk/stream/nvidia_nova_sport2/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK RTVS Sport,https://dash2.antik.sk/stream/nvidia_rtvs_sport/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Sport 1,https://dash2.antik.sk/stream/nvidia_sport_1/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
SK Sport 2,https://dash2.antik.sk/stream/nvidia_sport2/playlist_cenc.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Šláger Originál,https://dash2.antik.sk/stream/hisi_slager_original/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Sorozatklub,https://dash2.antik.sk/stream/hisi_sorozatklub/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Spark TV,https://dash2.antik.sk/stream/hisi_spark/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Spektrum,https://dash2.antik.sk/stream/hisi_spektrum/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Spektrum Home,https://dash2.antik.sk/stream/hisi_spektrum_home/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Sport 1,https://dash2.antik.sk/stream/nvidia_sport_1/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Sport 2,https://dash2.antik.sk/stream/nvidia_sport2/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Story 4,https://dash2.antik.sk/stream/hisi_story_4/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Story4,https://dash2.antik.sk/stream/hisi_story4/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Super TV2,https://dash2.antik.sk/stream/hisi_super_tv2/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
TA3,https://dash2.antik.sk/stream/nvidia_ta3/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Tanecnesutaze,https://dash2.antik.sk/live/tanecnesutaze/index.m3u8$license-type=clearkey$license-key=
TLC,https://dash2.antik.sk/stream/hisi_tlc/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Travel Channel,https://dash2.antik.sk/stream/hisi_travel_channel/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Turbo TV,https://dash2.antik.sk/stream/hisi_turbo/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
TV 2,https://dash2.antik.sk/stream/hisi_tv2/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
TV 4,https://dash2.antik.sk/stream/hisi_tv4/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
TV LUX,https://dash2.antik.sk/stream/hisi_lux/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
TV2 Séf,https://dash2.antik.sk/stream/hisi_tv2_sef/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
TV2Klub,https://dash2.antik.sk/stream/hisi_fem3/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
WAU,https://dash2.antik.sk/stream/nvidia_wau/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Erox,https://dash2.antik.sk/stream/hisi_erox/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Eroxxx,https://dash2.antik.sk/stream/hisi_eroxxx/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Desire,https://dash2.antik.sk/stream/hisi_desire/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Babes TV,https://dash2.antik.sk/stream/hisi_babes/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Pure Babes,https://dash2.antik.sk/stream/hisi_pure_babes/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Bang U,https://dash2.antik.sk/stream/hisi_bang_u/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
True Amateurs,https://dash2.antik.sk/stream/hisi_true_amateurs/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Brazzers TV Europe,https://dash2.antik.sk/stream/hisi_brazzers_europe/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Dorcel TV,https://dash2.antik.sk/stream/hisi_dorcel/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Dorcel XXX,https://dash2.antik.sk/stream/hisi_dorcel_xxx/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Leo TV,https://dash2.antik.sk/stream/hisi_leo_tv/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Extasy HD,https://dash2.antik.sk/stream/hisi_extasy/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Leo TV Gold,https://dash2.antik.sk/stream/hisi_leo_gold/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Passion XXX,https://dash2.antik.sk/stream/hisi_passion_xxx/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
Dusk!TV,https://dash2.antik.sk/stream/hisi_dusk/playlist_cbcs.mpd$license-type=clearkey$license-key=11223344556677889900112233445566:4b80724d0ef86bcb2c21f7999d67739d
